slug	name	package_group	attack_category	packages	description	url
0trace	0trace	information-gathering	发现	0trace,0trace.sh,sendprobe,usleep	Traceroute tool that can run within an existing TCP connection The package is traceroute tool that can be run within an existing, open TCP connection, therefore bypassing some types of stateful packet filters with ease.	https://www.kali.org/tools/0trace/
7zip	7zip	forensics		7zip,7z,7za,7zr,p7zip,7zip-standalone,7zz	7-Zip file archiver with a high compression ratio 7-Zip is a file archiver with a high compression ratio. The main features of 7-Zip are: High compression ratio in 7z format with LZMA and LZMA2 compression Supported formats: Packing / unpacking: 7z, XZ, BZIP2, GZIP, TAR, ZIP and WIM	https://www.kali.org/tools/7zip/
above	above	sniffing-spoofing	发现	above,above	Network security sniffer for finding vulnerabilities in the network This package contains a network security sniffer for finding vulnerabilities in the network, designed for pentesters and security professionals. It is based entirely on network traffic analysis, so it does not make any noise on the air. Above allows pentesters to automate the process of finding vulnerabilities in network hardware. Discovery protocols, dynamic routing,	https://www.kali.org/tools/above/
adaptixc2	adaptixc2	utils	命令与控制	adaptixc2,adaptixclient,adaptixserver	Extensible post-exploitation and adversarial emulation framework Adaptix is an extensible post-exploitation and adversarial emulation framework made for authorized penetration testing. The Adaptix server is written in Golang and to allow operator flexibility.	https://www.kali.org/tools/adaptixc2/
aesfix	aesfix	crypto-stego		aesfix,aesfix	Tool for correcting bit errors in an AES key schedule This program illustrates a technique for correcting bit errors in an AES key schedule. It should be used with the output of the aeskeyfind program. It is limited to AES-128 key schedules, and it can only correct unidirectional 1->0 bit errors. For the most part it has been optimized for readability rather than performance.	https://www.kali.org/tools/aesfix/
aeskeyfind	aeskeyfind	crypto-stego		aeskeyfind,aeskeyfind	Tool for locating AES keys in a captured memory image This program illustrates automatic techniques for locating 128-bit and 256-bit AES keys in a captured memory image. The program uses various algorithms and also performs a simple entropy test to filter out blocks that are not keys. It counts the number of repeated bytes and skips blocks that have too many repeats.	https://www.kali.org/tools/aeskeyfind/
afflib	afflib	forensics	数字取证	afflib-tools,affcat,affcompare,affconvert,affcopy,affcrypto,affdiskprint,affinfo,affix,affrecover,affsegment,affsign,affstats,affuse,affverify,affxml,libafflib-dev,libafflib0t64	Advanced Forensics Format Library (utilities) The Advanced Forensic Format (AFF) is on-disk format for storing computer forensic information. Critical features of AFF include: AFF allows you to store both computer forensic data and associated metadata in one or more files. AFF allows files to be digital signed, to provide for	https://www.kali.org/tools/afflib/
aflplusplus	aflplusplus	vulnerability	资源开发	afl++,afl-addseeds,afl-analyze,afl-c++,afl-cc,afl-clang,afl-clang++,afl-clang-fast,afl-clang-fast++,afl-clang-lto,afl-clang-lto++,afl-cmin,afl-cmin.awk,afl-cmin.bash,afl-cmin.py,afl-fuzz,afl-g++,afl-g++-fast,afl-gcc,afl-gcc-fast,afl-gotcpu,afl-health,afl-ld-lto,afl-lto,afl-lto++,afl-network-client,afl-network-server,afl-persistent-config,afl-plot,afl-showmap,afl-system-config,afl-tmin,afl-whatsup,afl++-doc	Instrumentation-driven fuzzer for binary formats American fuzzy lop is a fuzzer that employs compile-time instrumentation and genetic algorithms to automatically discover clean, interesting test cases that trigger new internal states in the targeted binary. This substantially improves the functional coverage for the fuzzed code. The compact synthesized corpora produced by the tool are also useful for seeding other, more labor- or	https://www.kali.org/tools/aflplusplus/
aircrack-ng	aircrack-ng	wireless	凭据访问	aircrack-ng,airbase-ng,aircrack-ng,airdecap-ng,airdecloak-ng,aireplay-ng,airmon-ng,airodump-ng,airodump-ng-oui-update,airolib-ng,airserv-ng,airtun-ng,airventriloquist-ng,besside-ng,besside-ng-crawler,buddy-ng,dcrack,easside-ng,ivstools,kstats,makeivs-ng,packetforge-ng,tkiptun-ng,wesside-ng,wpaclean,airgraph-ng,airgraph-ng,airodump-join	Wireless WEP/WPA cracking utilities aircrack-ng is an 802.11a/b/g WEP/WPA cracking program that can recover a 40-bit, 104-bit, 256-bit or 512-bit WEP key once enough encrypted packets have been gathered. Also it can attack WPA1/2 networks with some advanced methods or simply by brute force. It implements the standard FMS attack along with some optimizations,	https://www.kali.org/tools/aircrack-ng/
airgeddon	airgeddon	wireless	凭据访问	airgeddon,airgeddon	Multi-use bash script for Linux systems to audit wireless networks airgeddon is a menu driven 3rd party tools wrapper to audit wireless networks with many features.	https://www.kali.org/tools/airgeddon/
